building,name,addr:housenumber,addr:street,height,geometry,city
commercial,North Vancouver Bottle & Return-It Depot,310,Brooksbank Avenue,,POINT (-123.039936 49.308471),"City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.077735 49.321941, -123.077734 49.321962, -123.077668 49.321962, -123.077666 49.321984, -123.077578 49.321983, -123.077578 49.321963, -123.077562 49.321964, -123.077563 49.321974, -123.077506 49.321973, -123.077506 49.321977, -123.077462 49.321977, -123.077462 49.32197, -123.077448 49.321969, -123.077448 49.321958, -123.077411 49.321957, -123.07741 49.321975, -123.07735 49.321974, -123.077349 49.321969, -123.077294 49.321969, -123.077294 49.321965, -123.077276 49.321964, -123.077276 49.321981, -123.077195 49.32198, -123.077195 49.321957, -123.07712 49.321956, -123.077116 49.321935, -123.077036 49.321934, -123.077044 49.32183, -123.077073 49.321831, -123.077075 49.321763, -123.0771 49.321762, -123.077108 49.321663, -123.077183 49.321662, -123.077183 49.321652, -123.077748 49.321657, -123.077748 49.321674, -123.077828 49.321674, -123.077827 49.321786, -123.077797 49.321786, -123.077797 49.321836, -123.077822 49.321837, -123.077821 49.321941, -123.077735 49.321941), (-123.07768 49.321851, -123.077651 49.32185, -123.077651 49.321768, -123.077599 49.321767, -123.077597 49.321751, -123.077461 49.32175, -123.077461 49.321768, -123.077378 49.321768, -123.077378 49.32175, -123.077246 49.321748, -123.077243 49.321813, -123.077222 49.321812, -123.07722 49.321848, -123.077177 49.321848, -123.077177 49.321857, -123.077265 49.321857, -123.077263 49.321876, -123.077415 49.32188, -123.077414 49.32191, -123.077436 49.32191, -123.077437 49.321879, -123.077601 49.321878, -123.077601 49.32186, -123.07768 49.321862, -123.07768 49.321851))","City of North Vancouver, British Columbia, Canada"
yes,,705,West 2nd Street,,"POLYGON ((-123.092119 49.318876, -123.092119 49.318886, -123.091736 49.318884, -123.091738 49.318619, -123.09175 49.318619, -123.09175 49.318606, -123.091828 49.318606, -123.091828 49.318599, -123.092175 49.3186, -123.092174 49.318696, -123.092173 49.318876, -123.092119 49.318876), (-123.09208 49.318657, -123.091909 49.318655, -123.091906 49.318763, -123.092077 49.318765, -123.09208 49.318657))","City of North Vancouver, British Columbia, Canada"
yes,Royal Canadian Legion - Branch 118 (North Vancouver),123,West 15th Street,,"POLYGON ((-123.073729 49.321914, -123.073666 49.321914, -123.073625 49.321881, -123.073574 49.321881, -123.073523 49.321919, -123.073421 49.321918, -123.073421 49.321876, -123.073421 49.321805, -123.073464 49.321799, -123.073518 49.321792, -123.073544 49.321781, -123.073728 49.321782, -123.073727 49.321806, -123.073729 49.321914))","City of North Vancouver, British Columbia, Canada"
yes,,133,West 15th Street,,"POLYGON ((-123.073729 49.321914, -123.073729 49.321941, -123.074132 49.32195, -123.074134 49.321914, -123.074193 49.321915, -123.074201 49.32172, -123.074141 49.321719, -123.074142 49.321692, -123.073901 49.321688, -123.073898 49.321753, -123.073857 49.321752, -123.073854 49.321804, -123.073727 49.321806, -123.073729 49.321914))","City of North Vancouver, British Columbia, Canada"
yes,,121,West 15th Street,,"POLYGON ((-123.073544 49.321781, -123.073518 49.321792, -123.073464 49.321799, -123.073421 49.321805, -123.073421 49.321876, -123.073222 49.321868, -123.073252 49.321594, -123.073657 49.321604, -123.073657 49.321688, -123.073552 49.321688, -123.07356 49.321708, -123.07356 49.321729, -123.07356 49.321747, -123.073544 49.321781))","City of North Vancouver, British Columbia, Canada"
apartments,,520,East 1st Street,,"MULTIPOLYGON (((-123.064446 49.30682, -123.065097 49.306828, -123.065096 49.306855, -123.065137 49.306856, -123.065135 49.306926, -123.064444 49.306919, -123.064446 49.30682)), ((-123.064433 49.306897, -123.064431 49.306986, -123.064324 49.306985, -123.064327 49.306895, -123.064433 49.306897)), ((-123.06519 49.307086, -123.065151 49.307086, -123.065152 49.307024, -123.065188 49.307024, -123.065189 49.30701, -123.06576 49.307013, -123.065761 49.306929, -123.065208 49.306926, -123.065209 49.306871, -123.065229 49.306872, -123.065229 49.306827, -123.065919 49.30683, -123.065916 49.307116, -123.065189 49.307112, -123.06519 49.307086)), ((-123.06441 49.307063, -123.064379 49.307062, -123.06438 49.307007, -123.065071 49.307011, -123.06507 49.307058, -123.065035 49.307057, -123.065034 49.307111, -123.06441 49.307106, -123.06441 49.307063)))","City of North Vancouver, British Columbia, Canada"
townhouse,Morrison On The Park,650,East 2nd Street,,"MULTIPOLYGON (((-123.060995 49.307641, -123.060993 49.307749, -123.060451 49.307744, -123.060454 49.307636, -123.060995 49.307641)), ((-123.061088 49.307645, -123.06163 49.307648, -123.061628 49.307752, -123.061087 49.307748, -123.061088 49.307645)), ((-123.061043 49.307845, -123.061532 49.307848, -123.061532 49.307809, -123.061628 49.307809, -123.061628 49.307869, -123.061624 49.307869, -123.061586 49.307869, -123.061585 49.30797, -123.061041 49.307966, -123.061043 49.307845)), ((-123.060452 49.30784, -123.060992 49.307844, -123.06099 49.307967, -123.06045 49.307962, -123.060452 49.30784)))","City of North Vancouver, British Columbia, Canada"
yes,,555,,,"POLYGON ((-123.042175 49.312079, -123.041708 49.312072, -123.04172 49.311718, -123.042188 49.311725, -123.042175 49.312079))","City of North Vancouver, British Columbia, Canada"
yes,,555,,,"POLYGON ((-123.041712 49.311602, -123.04219 49.311608, -123.042204 49.31125, -123.041722 49.311247, -123.041722 49.311263, -123.041645 49.311262, -123.041646 49.311249, -123.041582 49.311247, -123.041583 49.311283, -123.041564 49.311298, -123.041559 49.311393, -123.04157 49.311399, -123.041571 49.311605, -123.041637 49.311606, -123.04164 49.311581, -123.041713 49.31158, -123.041712 49.311602))","City of North Vancouver, British Columbia, Canada"
