landuse,name,geometry,city
residential,,"POLYGON ((-123.078517 49.349244, -123.077899 49.348922, -123.077148 49.348817, -123.076587 49.348514, -123.076026 49.348006, -123.074933 49.346693, -123.074572 49.345708, -123.073952 49.345316, -123.073431 49.345171, -123.071919 49.345138, -123.071948 49.342264, -123.071979 49.339298, -123.072632 49.339304, -123.07268 49.33568, -123.072204 49.335655, -123.072201 49.334955, -123.073156 49.33498, -123.074393 49.33499, -123.074419 49.334112, -123.073694 49.334083, -123.07288 49.334076, -123.072866 49.333256, -123.072853 49.332353, -123.078393 49.332464, -123.081305 49.332466, -123.081335 49.332476, -123.081349 49.332488, -123.081375 49.332489, -123.081517 49.332489, -123.081525 49.332483, -123.081556 49.332468, -123.081578 49.332461, -123.084278 49.332366, -123.085913 49.332403, -123.087196 49.332434, -123.087567 49.332483, -123.087982 49.332683, -123.087947 49.333772, -123.0888 49.333803, -123.088921 49.333469, -123.090752 49.333413, -123.090714 49.335376, -123.090584 49.335422, -123.090473 49.335465, -123.090355 49.335541, -123.090323 49.335661, -123.090961 49.335692, -123.090961 49.336448, -123.08805 49.336473, -123.085242 49.33647, -123.085076 49.338381, -123.087985 49.338375, -123.087928 49.339428, -123.087901 49.339642, -123.087737 49.339863, -123.085618 49.342729, -123.084098 49.345024, -123.083849 49.345279, -123.083374 49.345479, -123.081412 49.346052, -123.0813 49.346052, -123.080182 49.346422, -123.07968 49.346776, -123.07948 49.347077, -123.079511 49.34808, -123.079562 49.349735, -123.079294 49.349746, -123.078517 49.349244), (-123.086302 49.334738, -123.086317 49.334037, -123.085833 49.333425, -123.085803 49.332854, -123.084594 49.33284, -123.084569 49.334747, -123.086302 49.334738), (-123.082446 49.342215, -123.084061 49.342402, -123.084748 49.341319, -123.083898 49.341045, -123.084309 49.340055, -123.084806 49.339712, -123.085742 49.339383, -123.085675 49.339127, -123.086784 49.338424, -123.085962 49.338424, -123.085622 49.33863, -123.084395 49.339376, -123.083755 49.339607, -123.083459 49.340042, -123.083468 49.340503, -123.083076 49.340727, -123.08237 49.340709, -123.082045 49.340572, -123.082169 49.33975, -123.079723 49.339694, -123.079721 49.339827, -123.079713 49.341362, -123.080554 49.341518, -123.080631 49.341263, -123.080755 49.341244, -123.082456 49.341891, -123.082446 49.342215), (-123.079847 49.344431, -123.080506 49.343983, -123.081529 49.343989, -123.082322 49.343174, -123.081787 49.342813, -123.08042 49.34285, -123.079952 49.342371, -123.079465 49.342302, -123.07936 49.342153, -123.078484 49.342148, -123.078194 49.342147, -123.077974 49.342775, -123.078615 49.342844, -123.078555 49.343193, -123.07851 49.34346, -123.079293 49.343479, -123.079235 49.34422, -123.079226 49.344332, -123.079847 49.344431))","City of North Vancouver, British Columbia, Canada"
residential,,"POLYGON ((-123.062154 49.332242, -123.069045 49.332375, -123.069727 49.332369, -123.070352 49.332373, -123.071207 49.332381, -123.071334 49.332419, -123.071334 49.332524, -123.071342 49.332679, -123.071348 49.332805, -123.071828 49.332779, -123.071864 49.333393, -123.07183 49.334217, -123.071792 49.335549, -123.066725 49.335508, -123.065722 49.335545, -123.063225 49.335545, -123.058203 49.335489, -123.057214 49.335476, -123.053011 49.335458, -123.05303 49.335096, -123.05317 49.333012, -123.051487 49.332956, -123.051307 49.335115, -123.051304 49.335437, -123.046005 49.335383, -123.043806 49.335376, -123.042217 49.335385, -123.041913 49.335243, -123.052935 49.329367, -123.053186 49.329643, -123.052853 49.329834, -123.053122 49.330026, -123.053144 49.330288, -123.053819 49.330296, -123.056193 49.331669, -123.057547 49.332142, -123.05779 49.332208, -123.057599 49.332508, -123.058766 49.332752, -123.058861 49.332821, -123.058937 49.332905, -123.058955 49.333011, -123.059226 49.333234, -123.059268 49.333215, -123.059353 49.333161, -123.059424 49.333157, -123.05949 49.333189, -123.059524 49.33324, -123.059518 49.333286, -123.059486 49.333332, -123.059821 49.333589, -123.060252 49.333394, -123.060198 49.332948, -123.062265 49.332957, -123.062278 49.332531, -123.06213 49.332529, -123.062154 49.332242))","City of North Vancouver, British Columbia, Canada"
industrial,Lynnterm Terminal,"MULTIPOLYGON (((-123.026163 49.301866, -123.026172 49.302098, -123.026189 49.302515, -123.025695 49.302235, -123.025651 49.302204, -123.025238 49.301771, -123.024664 49.301176, -123.02445 49.300989, -123.023894 49.300671, -123.023593 49.300403, -123.023568 49.300311, -123.023554 49.299817, -123.022844 49.29887, -123.022836 49.298758, -123.02291 49.298675, -123.023136 49.298632, -123.023176 49.298625, -123.023176 49.298496, -123.02339 49.298407, -123.023648 49.298429, -123.024206 49.298468, -123.024422 49.298424, -123.024626 49.29825, -123.02475 49.298162, -123.024807 49.29802, -123.024936 49.297617, -123.025018 49.297616, -123.025073 49.297668, -123.025128 49.297785, -123.02512 49.297897, -123.025102 49.298004, -123.025121 49.298229, -123.025103 49.298453, -123.025034 49.298596, -123.025007 49.299226, -123.025012 49.299341, -123.025106 49.299487, -123.02522 49.299662, -123.025415 49.299648, -123.025395 49.29956, -123.025432 49.299481, -123.025653 49.299469, -123.025805 49.29946, -123.025785 49.299313, -123.026086 49.29928, -123.026163 49.301866)), ((-123.040601 49.29855, -123.03987 49.298742, -123.0396 49.298705, -123.039181 49.298646, -123.039081 49.298961, -123.038446 49.300874, -123.038005 49.30167, -123.037871 49.302153, -123.037789 49.30244, -123.037705 49.302685, -123.037639 49.303467, -123.037647 49.304088, -123.037618 49.304652, -123.037016 49.304645, -123.036712 49.304726, -123.036084 49.304616, -123.035909 49.304542, -123.035781 49.304562, -123.035704 49.304557, -123.034959 49.304428, -123.03478 49.304375, -123.034595 49.30431, -123.034444 49.304228, -123.034418 49.304189, -123.03443 49.303875, -123.0344 49.303869, -123.034189 49.303846, -123.034112 49.303844, -123.034034 49.303832, -123.033914 49.303801, -123.033749 49.303736, -123.033604 49.303673, -123.03334 49.303547, -123.033111 49.303425, -123.033265 49.303425, -123.033339 49.303372, -123.033337 49.303257, -123.033337 49.303229, -123.03334 49.303037, -123.033338 49.302907, -123.033429 49.30294, -123.033448 49.302964, -123.033571 49.302968, -123.033616 49.302916, -123.033619 49.302856, -123.033624 49.302771, -123.033629 49.302579, -123.033635 49.302501, -123.033646 49.302343, -123.032669 49.30233, -123.032677 49.302107, -123.032692 49.301961, -123.032273 49.301959, -123.032294 49.301468, -123.029891 49.301397, -123.029871 49.299375, -123.029879 49.297434, -123.029876 49.29725, -123.029883 49.297118, -123.029718 49.297098, -123.029767 49.296967, -123.040635 49.29842, -123.040601 49.29855)))","City of North Vancouver, British Columbia, Canada"
meadow,,"POLYGON ((-123.083585 49.325065, -123.083528 49.324916, -123.083444 49.324887, -123.08342 49.324834, -123.083357 49.324782, -123.083443 49.324692, -123.083539 49.324708, -123.083662 49.324699, -123.083726 49.324657, -123.083747 49.32458, -123.083765 49.324424, -123.083809 49.324428, -123.083801 49.324384, -123.083828 49.324312, -123.083852 49.32429, -123.083895 49.324286, -123.083932 49.324298, -123.08423 49.324473, -123.084236 49.324533, -123.084332 49.324594, -123.084384 49.32459, -123.084429 49.32459, -123.08445 49.324603, -123.084453 49.324631, -123.084469 49.32465, -123.084426 49.324694, -123.08437 49.32473, -123.084123 49.324881, -123.083965 49.324961, -123.083855 49.324991, -123.083585 49.325065))","City of North Vancouver, British Columbia, Canada"
farmland,Loutet Farm,"MULTIPOLYGON (((-123.044553 49.320896, -123.04447 49.321056, -123.044361 49.321052, -123.044371 49.320867, -123.044512 49.320868, -123.044553 49.320896)), ((-123.044517 49.321161, -123.044589 49.320983, -123.044661 49.320902, -123.044771 49.320888, -123.045404 49.320907, -123.04539 49.321167, -123.044517 49.321161)))","City of North Vancouver, British Columbia, Canada"
