landuse,name,geometry,city
residential,,POINT (-123.12438 49.27729),"Vancouver, British Columbia, Canada"
residential,,POINT (-123.124498 49.277224),"Vancouver, British Columbia, Canada"
residential,,POINT (-123.124549 49.277199),"Vancouver, British Columbia, Canada"
residential,,POINT (-123.124446 49.27726),"Vancouver, British Columbia, Canada"
residential,,POINT (-123.12459 49.277175),"Vancouver, British Columbia, Canada"
residential,Chancery Place,POINT (-123.122817 49.282185),"Vancouver, British Columbia, Canada"
residential,1108 Pendrell,POINT (-123.130627 49.281226),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.108331 49.238855),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.108875 49.239704),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.110259 49.239624),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.111325 49.239138),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.10794 49.239196),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.110205 49.23887),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.109649 49.239386),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.108836 49.238741),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.109211 49.23802),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.108221 49.237544),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.108833 49.238513),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.107584 49.238541),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.108176 49.238128),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.106981 49.237537),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.107204 49.238304),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.107192 49.239082),"Vancouver, British Columbia, Canada"
grass,,POINT (-123.107806 49.239834),"Vancouver, British Columbia, Canada"
residential,The Murchies Building,POINT (-123.123453 49.274994),"Vancouver, British Columbia, Canada"
residential,GEC Marine Gateway,POINT (-123.116379 49.211441),"Vancouver, British Columbia, Canada"
residential,Avant,POINT (-123.043429 49.291018),"Vancouver, British Columbia, Canada"
military,Tactical Training Centre,POINT (-123.080703 49.266997),"Vancouver, British Columbia, Canada"
allotments,,POINT (-123.140155 49.293132),"Vancouver, British Columbia, Canada"
residential,,POINT (-123.135881 49.283672),"Vancouver, British Columbia, Canada"
residential,,POINT (-123.135419 49.283376),"Vancouver, British Columbia, Canada"
residential,Aster East Village,POINT (-123.023998 49.280851),"Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.160039 49.223062, -123.160055 49.223063, -123.16006 49.223059, -123.160182 49.223066, -123.160307 49.223082, -123.160357 49.223116, -123.160369 49.223134, -123.160369 49.223205, -123.160345 49.223264, -123.160316 49.223307, -123.160279 49.223339, -123.160232 49.223404, -123.160198 49.223416, -123.160144 49.223416, -123.16008 49.223405, -123.159994 49.223381, -123.159895 49.223345, -123.15986 49.223331, -123.159892 49.223306, -123.159907 49.223299, -123.159947 49.223288, -123.159986 49.223265, -123.159997 49.223236, -123.160011 49.223218, -123.16005 49.223197, -123.160064 49.2232, -123.160085 49.223177, -123.160071 49.223173, -123.160079 49.223156, -123.160083 49.223122, -123.160073 49.223102, -123.160039 49.223062))","Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.160323 49.223052, -123.160273 49.223046, -123.160216 49.22304, -123.160092 49.223036, -123.160036 49.223035, -123.160045 49.22301, -123.160079 49.222986, -123.16014 49.222963, -123.160176 49.22294, -123.160196 49.222911, -123.160203 49.222881, -123.160178 49.22284, -123.160142 49.222813, -123.160067 49.222791, -123.160017 49.222768, -123.159983 49.222739, -123.15996 49.2227, -123.159929 49.222678, -123.159866 49.222653, -123.159815 49.222649, -123.159755 49.222654, -123.159705 49.22267, -123.159665 49.222699, -123.159639 49.222729, -123.159591 49.222752, -123.159567 49.222786, -123.159581 49.222836, -123.159615 49.22286, -123.159656 49.222872, -123.159718 49.222875, -123.159765 49.222885, -123.159793 49.222905, -123.15982 49.222945, -123.1598 49.222981, -123.159749 49.223038, -123.159746 49.22306, -123.15975 49.223084, -123.15976 49.223097, -123.159746 49.223106, -123.159731 49.223122, -123.159717 49.223142, -123.159713 49.223154, -123.159676 49.223142, -123.159713 49.223097, -123.159676 49.223084, -123.159694 49.223061, -123.159674 49.223054, -123.159684 49.223043, -123.159671 49.223038, -123.15952 49.222968, -123.159442 49.222905, -123.15939 49.222853, -123.159379 49.222811, -123.15939 49.222753, -123.159429 49.22269, -123.159483 49.222626, -123.15955 49.22258, -123.159643 49.222547, -123.159718 49.222532, -123.159872 49.222535, -123.160002 49.222573, -123.16013 49.222625, -123.160204 49.222664, -123.160254 49.222701, -123.160317 49.22278, -123.160343 49.222835, -123.160343 49.222918, -123.160328 49.223018, -123.160323 49.223052))","Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.07794 49.227626, -123.078012 49.225809, -123.07998 49.225822, -123.079895 49.22765, -123.07794 49.227626), (-123.079779 49.226226, -123.079781 49.226161, -123.079782 49.226103, -123.079783 49.226074, -123.078273 49.226041, -123.078213 49.227302, -123.079749 49.227336, -123.079779 49.226226))","Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.106337 49.24317, -123.106297 49.243164, -123.106258 49.243148, -123.106231 49.243126, -123.106216 49.243099, -123.106197 49.242973, -123.106156 49.242751, -123.106127 49.242602, -123.106141 49.242466, -123.106078 49.242279, -123.106443 49.242218, -123.106495 49.242167, -123.106716 49.242132, -123.106878 49.242161, -123.107065 49.242214, -123.107212 49.242275, -123.107321 49.242329, -123.107414 49.24239, -123.107486 49.242453, -123.107639 49.242859, -123.107566 49.242893, -123.10737 49.242925, -123.107354 49.242945, -123.106384 49.243165, -123.106337 49.24317), (-123.106856 49.243018, -123.106867 49.242993, -123.10687 49.242953, -123.106863 49.242912, -123.10685 49.242865, -123.106823 49.242826, -123.10679 49.242793, -123.106755 49.242765, -123.106696 49.242734, -123.106623 49.242707, -123.10655 49.242692, -123.106481 49.242686, -123.10641 49.242688, -123.106332 49.242702, -123.106268 49.242723, -123.1062 49.242759, -123.106232 49.242837, -123.10631 49.243059, -123.106295 49.243068, -123.106285 49.243082, -123.106285 49.243098, -123.106294 49.243112, -123.106312 49.243122, -123.106334 49.243125, -123.106358 49.243123, -123.106377 49.243114, -123.106387 49.243104, -123.106389 49.243093, -123.106856 49.243018))","Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.106681 49.243, -123.106669 49.243005, -123.106659 49.243013, -123.106653 49.243025, -123.106651 49.243036, -123.106388 49.243074, -123.106373 49.243065, -123.106355 49.243058, -123.106334 49.243054, -123.106274 49.242882, -123.106287 49.242876, -123.106297 49.242868, -123.106302 49.242858, -123.106303 49.242849, -123.106569 49.242807, -123.106583 49.242819, -123.1066 49.242825, -123.106623 49.242828, -123.106681 49.243), (-123.106473 49.242977, -123.106485 49.242974, -123.106495 49.242969, -123.106502 49.242962, -123.106504 49.242954, -123.106503 49.242946, -123.106498 49.242939, -123.10649 49.242933, -123.10648 49.242929, -123.106468 49.242928, -123.106455 49.242929, -123.106444 49.242933, -123.106436 49.242938, -123.106431 49.242946, -123.106429 49.242954, -123.106432 49.242962, -123.106439 49.242969, -123.106449 49.242974, -123.106461 49.242977, -123.106473 49.242977))","Vancouver, British Columbia, Canada"
