landuse,name,city
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Chancery Place,"Vancouver, British Columbia, Canada"
residential,1108 Pendrell,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
residential,The Murchies Building,"Vancouver, British Columbia, Canada"
residential,GEC Marine Gateway,"Vancouver, British Columbia, Canada"
residential,Avant,"Vancouver, British Columbia, Canada"
military,Tactical Training Centre,"Vancouver, British Columbia, Canada"
allotments,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Aster East Village,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,Master Toa Wong Commemorative Boulevard,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
cemetery,Mountain View Cemetery,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
residential,Camosun Gates,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
construction,Cambie Gardens (Phase1),"Vancouver, British Columbia, Canada"
construction,Cambie Gardens (Phase2),"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
meadow,,"Vancouver, British Columbia, Canada"
harbour,Vancouver,"Vancouver, British Columbia, Canada"
industrial,,"Vancouver, British Columbia, Canada"
industrial,GCT Vanterm,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
industrial,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
religious,Khalsa Diwan Society,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
construction,,"Vancouver, British Columbia, Canada"
retail,Point Grey Village,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,Kerrisdale Station,"Vancouver, British Columbia, Canada"
construction,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
recreation_ground,Memorial South Park,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,Winona Park,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
institutional,,"Vancouver, British Columbia, Canada"
recreation_ground,Playland,"Vancouver, British Columbia, Canada"
commercial,,"Vancouver, British Columbia, Canada"
commercial,,"Vancouver, British Columbia, Canada"
commercial,,"Vancouver, British Columbia, Canada"
industrial,,"Vancouver, British Columbia, Canada"
industrial,Cascadia Terminal,"Vancouver, British Columbia, Canada"
industrial,,"Vancouver, British Columbia, Canada"
industrial,Heidelberg Materials,"Vancouver, British Columbia, Canada"
meadow,Ceperley Meadow,"Vancouver, British Columbia, Canada"
recreation_ground,,"Vancouver, British Columbia, Canada"
military,Bessborough Armoury -- 15 BC Field Regiment (RCA),"Vancouver, British Columbia, Canada"
military,Seaforth Armoury,"Vancouver, British Columbia, Canada"
construction,Bayview Community School,"Vancouver, British Columbia, Canada"
retail,Victoria Square,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
commercial,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
commercial,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,Granville Island,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Deering Island,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,1st Avenue Marketplace,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
retail,Plaza Cambie 15,"Vancouver, British Columbia, Canada"
retail,Killarney Centre,"Vancouver, British Columbia, Canada"
residential,Moorpark,"Vancouver, British Columbia, Canada"
residential,Tivoli Gardens,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Richview Gardens,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Ashleigh Heights,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Park Place,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Shannon Oaks Vancouver,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,Southoak Centre,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
retail,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
construction,"Coal Harbour School, Childcare and Affordable Housing Project","Vancouver, British Columbia, Canada"
meadow,,"Vancouver, British Columbia, Canada"
construction,Freedom Mobile Arch,"Vancouver, British Columbia, Canada"
construction,construction storage area,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
construction,Kitsilano Block,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
meadow,,"Vancouver, British Columbia, Canada"
meadow,,"Vancouver, British Columbia, Canada"
railway,CPKC Yard,"Vancouver, British Columbia, Canada"
railway,,"Vancouver, British Columbia, Canada"
railway,,"Vancouver, British Columbia, Canada"
allotments,16 Oaks,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
grass,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
brownfield,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
brownfield,,"Vancouver, British Columbia, Canada"
allotments,Adanac Park Community Gardens,"Vancouver, British Columbia, Canada"
allotments,Elisabeth Rogers Community Garden,"Vancouver, British Columbia, Canada"
allotments,Pandora Park Community Garden,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,Mole Hill,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
residential,,"Vancouver, British Columbia, Canada"
